,New_ID,Year,Period,Value,Date
0,1, 2010, 12/01, 219.179, 12/01/ 2010
1,2, 2010, 11/01, 218.803, 11/01/ 2010
2,3, 2010, 10/01, 218.711, 10/01/ 2010
3,4, 2010, 09/01, 218.439, 09/01/ 2010
4,5, 2010, 08/01, 218.312, 08/01/ 2010
5,6, 2010, 07/01, 218.011, 07/01/ 2010
6,7, 2010, 06/01, 217.965, 06/01/ 2010
7,8, 2010, 05/01, 218.178, 05/01/ 2010
8,9, 2010, 04/01, 218.009, 04/01/ 2010
9,10, 2010, 03/01, 217.631, 03/01/ 2010
10,11, 2010, 02/01, 216.741, 02/01/ 2010
11,12, 2010, 01/01, 216.687, 01/01/ 2010
12,13, 2009, 12/01, 215.949, 12/01/ 2009
13,14, 2009, 11/01, 216.330, 11/01/ 2009
14,15, 2009, 10/01, 216.177, 10/01/ 2009
15,16, 2009, 09/01, 215.969, 09/01/ 2009
16,17, 2009, 08/01, 215.834, 08/01/ 2009
17,18, 2009, 07/01, 215.351, 07/01/ 2009
18,19, 2009, 06/01, 215.693, 06/01/ 2009
19,20, 2009, 05/01, 213.856, 05/01/ 2009
20,21, 2009, 04/01, 213.240, 04/01/ 2009
21,22, 2009, 03/01, 212.709, 03/01/ 2009
22,23, 2009, 02/01, 212.193, 02/01/ 2009
23,24, 2009, 01/01, 211.143, 01/01/ 2009
24,25, 2008, 12/01, 210.228, 12/01/ 2008
25,26, 2008, 11/01, 212.425, 11/01/ 2008
26,27, 2008, 10/01, 216.573, 10/01/ 2008
27,28, 2008, 09/01, 218.783, 09/01/ 2008
28,29, 2008, 08/01, 219.086, 08/01/ 2008
29,30, 2008, 07/01, 219.964, 07/01/ 2008
30,31, 2008, 06/01, 218.815, 06/01/ 2008
31,32, 2008, 05/01, 216.632, 05/01/ 2008
32,33, 2008, 04/01, 214.823, 04/01/ 2008
33,34, 2008, 03/01, 213.528, 03/01/ 2008
34,35, 2008, 02/01, 211.693, 02/01/ 2008
35,36, 2008, 01/01, 211.080, 01/01/ 2008
36,37, 2007, 12/01, 210.036, 12/01/ 2007
37,38, 2007, 11/01, 210.177, 11/01/ 2007
38,39, 2007, 10/01, 208.936, 10/01/ 2007
39,40, 2007, 09/01, 208.490, 09/01/ 2007
40,41, 2007, 08/01, 207.917, 08/01/ 2007
41,42, 2007, 07/01, 208.299, 07/01/ 2007
